time siteid longitude latitude elevation aod_int_1640nm aod_int_1240nm aod_int_870nm aod_int_670nm aod_int_550nm aod_int_470nm aod_int_440nm
"2021-07-30 04:36:17" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07588352665380671 0.08671133249347027 0.106873 0.126546518388981 0.15365551079368517 0.18238036008697556 0.19581800000000002
"2021-07-30 04:39:18" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.0809045620719778 0.088913311732928 0.10762200000000001 0.1277139618127621 0.15455722571319425 0.18336729819047373 0.19697
"2021-07-30 04:42:44" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07837054982083594 0.0884874576436544 0.108379 0.12829735403259235 0.15540285065259568 0.18444118632179704 0.19814400000000001
"2021-07-30 04:52:21" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07709746826264255 0.08846878596951585 0.10879100000000001 0.12821935129957465 0.1555952379242445 0.18505694010364881 0.198695
"2021-07-30 04:54:19" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07450368903245859 0.08769098205989678 0.109148 0.1285874774581854 0.155891172562481 0.18548100468450013 0.199471
"2021-07-30 04:56:17" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07726333308581672 0.08851423522515094 0.10863699999999998 0.12788587058016368 0.1550735298750698 0.18466384110100148 0.198653
"2021-07-30 04:59:18" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07446131201056722 0.08756338054028255 0.108748 0.12786863671733328 0.154886775059895 0.18425258949341186 0.197736
"2021-07-30 05:01:26" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07537385066809611 0.08786373939020825 0.108806 0.12811747541974927 0.1547653819086492 0.18405866372966573 0.198019
"2021-07-30 05:04:18" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07888944148018436 0.08921269543677032 0.10865999999999999 0.1277492124386554 0.15386836897229594 0.18318698541037245 0.19727
"2021-07-30 05:07:43" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07297278025349382 0.08754467090826173 0.109134 0.12752653421186902 0.1541887568623169 0.1833130826336188 0.19708499999999998
"2021-07-30 05:17:07" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.07600742363793256 0.08880313637989326 0.109571 0.12836141301205686 0.15486715593931646 0.18408125332593459 0.198015
"2021-07-30 05:26:50" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.06769744935405306 0.08610577511745417 0.109726 0.12761503970269822 0.1539504783439035 0.18302676615942534 0.19684400000000002
"2021-07-30 05:28:50" Finokalia-FKL 25.669762 35.337711999999996 258.0 0.06732477033534615 0.08616421461642296 0.110109 0.1280863980629227 0.15480459386301915 0.18417761058338689 0.19813599999999998
